Personal Fan Duration [mins],Personal Heater Duration [mins],Cooling Setpoint Up Duration [mins],Cooling Setpoint Down Duration [mins],In-Office Duration [mins],Cool Duration [mins],Warm Duration [mins],Occupant #
0,180,0,0,180,11,0,7
0,180,0,0,180,4,0,7
0,240,0,0,240,7,0,7
0,180,0,59,180,6,0,7
0,240,59,0,240,14,0,7
0,180,11,0,180,9,0,7
0,180,4,0,180,3,0,7
0,180,0,57,180,4,0,7
0,240,36,0,240,15,0,7
0,180,0,0,180,9,0,7
0,180,65,39,180,13,0,7
0,180,35,31,180,10,0,7
0,180,33,0,180,9,0,7
0,240,2,0,240,14,0,7
0,172,0,0,180,8,0,7
0,240,7,0,240,9,0,7
0,180,0,0,180,7,0,7
0,180,0,0,180,5,0,7
0,180,48,0,180,10,0,7
0,180,11,0,180,8,0,7
0,240,31,0,240,16,0,7
0,180,34,0,180,2,0,7
0,180,0,42,180,7,0,7
0,240,22,0,240,12,0,7
0,180,0,0,180,11,0,7
0,180,0,0,180,6,0,7
0,180,45,0,180,6,0,7
0,180,0,0,180,0,0,7
0,240,19,0,240,8,0,7
0,180,0,0,180,7,0,7
0,240,37,0,240,8,0,7
0,180,58,0,180,11,0,7
0,240,17,0,240,9,0,7
0,300,39,20,300,14,0,7
0,240,48,0,240,9,0,7
0,180,0,0,180,6,0,7
0,180,22,0,180,9,0,7
0,240,35,0,240,8,0,7
0,180,4,0,180,6,0,7
0,180,0,0,180,6,0,7
0,180,19,0,180,6,0,7
0,240,0,0,240,5,0,7
180,0,0,0,180,0,9,8
180,0,0,0,180,0,14,8
180,0,0,0,180,0,5,8
180,0,0,0,180,0,14,8
180,0,0,0,180,0,5,8
240,0,0,56,240,0,13,8
175,0,0,14,180,0,16,8
180,0,53,53,180,0,14,8
180,0,0,57,180,0,8,8
180,0,0,0,180,0,14,8
180,0,0,0,180,0,5,8
240,0,0,56,240,0,13,8
175,0,0,14,180,0,16,8
180,0,53,53,180,0,14,8
180,0,0,57,180,0,8,8
180,0,0,0,180,0,9,8
180,0,0,0,180,0,10,8
240,0,0,0,240,0,15,8
180,0,0,0,180,0,12,8
180,0,0,0,180,0,7,8
240,0,0,0,240,0,15,8
240,0,0,0,240,0,21,8
240,0,0,0,240,0,21,8
180,0,0,0,180,0,8,8
240,0,0,59,240,0,16,8
180,0,0,0,180,0,18,8
180,0,0,0,180,0,13,8
180,0,0,0,180,0,12,8
240,0,0,0,240,0,16,8
180,0,0,30,180,0,12,8
240,0,0,9,240,0,15,8
180,0,33,52,180,0,12,8
180,0,0,0,180,0,16,8
240,0,0,0,240,0,19,8
240,0,0,0,240,0,13,8
180,0,0,0,180,0,8,8
214,0,0,0,240,0,14,8
180,0,0,21,180,0,15,8
180,0,0,0,180,0,13,8
180,0,20,26,180,0,10,8
300,0,0,0,300,0,16,8
180,0,0,55,180,0,16,8
226,0,0,24,240,0,19,8
240,0,0,0,240,0,15,8
180,0,0,53,180,0,13,8
212,0,0,10,240,0,16,8
180,0,0,0,180,0,15,8
180,0,0,0,180,0,13,8
180,0,7,30,180,0,10,8
240,0,0,0,240,0,14,8
180,0,0,0,180,0,10,8
180,0,0,0,180,0,8,8
180,0,0,0,180,0,17,8
180,0,0,0,180,0,10,8
180,0,0,0,180,0,18,8
180,0,5,46,180,0,10,8
180,0,0,0,180,0,9,8
221,0,0,22,240,0,20,8
180,0,0,47,180,0,7,8
240,0,0,0,240,0,20,8
180,0,0,48,180,0,7,8
240,0,0,59,240,0,18,8
180,0,0,0,180,0,10,8
240,0,0,0,240,0,11,8
240,0,0,0,240,0,15,8
180,0,0,57,180,0,18,8
180,0,0,0,180,0,10,8
240,0,0,57,240,0,20,8
180,0,0,39,180,0,8,8
240,0,0,31,240,0,12,8
240,0,0,0,240,0,15,8
240,0,0,0,240,0,22,8
180,0,0,0,180,0,7,8
180,0,7,38,180,0,8,8
180,0,0,53,180,0,13,8
240,0,0,0,240,0,27,8
180,0,0,0,180,0,10,8
240,0,0,0,240,0,11,8
240,0,31,57,240,0,17,8
180,0,0,0,180,0,12,8
180,0,0,42,180,0,13,8
180,0,22,45,180,0,10,8
180,0,0,0,180,0,5,8
180,0,0,47,180,0,16,8
180,0,0,0,180,0,13,8
180,0,0,0,180,0,12,8
180,0,0,0,180,0,14,8
228,0,0,15,240,0,22,8
180,0,0,0,180,0,15,8
240,0,0,0,240,0,19,8
180,0,0,0,180,0,13,8
180,0,0,20,180,0,5,8
180,0,0,0,180,0,13,8
220,0,0,5,240,0,19,8
180,0,0,0,180,0,11,8
180,0,0,0,180,0,12,8
240,0,0,0,240,0,19,8
180,0,0,0,180,0,13,8
180,0,0,0,180,0,9,8
180,0,0,0,180,0,13,8
37,0,0,0,180,6,4,9
13,33,0,0,180,6,6,9
58,0,0,0,180,6,7,9
13,33,0,0,180,6,6,9
58,0,0,0,180,6,7,9
0,0,0,56,180,4,3,9
14,0,0,0,180,6,6,9
22,0,53,0,240,5,6,9
66,0,0,57,180,10,4,9
13,33,0,0,180,6,6,9
58,0,0,0,180,6,7,9
0,0,0,56,180,4,3,9
14,0,0,0,180,6,6,9
22,0,53,0,240,5,6,9
66,0,0,57,180,10,4,9
14,0,0,0,180,6,6,9
98,0,0,0,300,14,11,9
41,0,0,0,180,5,4,9
0,0,0,0,180,2,2,9
0,0,0,0,180,5,5,9
86,0,0,0,240,6,7,9
30,0,0,0,240,9,8,9
76,0,0,0,180,6,4,9
3,12,0,0,240,9,10,9
0,0,0,59,240,6,8,9
79,0,0,0,240,6,7,9
37,0,0,0,180,5,4,9
0,0,0,0,180,8,9,9
34,0,0,0,240,6,5,9
11,0,0,30,240,6,8,9
0,0,0,9,240,8,8,9
55,0,33,0,240,4,8,9
45,0,0,0,180,7,5,9
66,0,0,0,240,4,6,9
73,48,0,0,240,5,12,9
11,0,0,0,180,5,5,9
69,0,0,0,180,4,5,9
